"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"42",NA,"NS",17129,"I5Q-MC-CGBA","Galcanezumab","NOPHASE","200","120",1,5,NA,2018-04-30,2018-06-18,2018-06-11,2020-07-18,2019-04-26,2019-07-18,2019-04-26,NA,NA,NA,NA,2020-09-30,2021-11-05,NA,NA,"HEA","HEA","HEA","NDIS",NA,"No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"2016-5696-GHO-Pragmatic-Carolinas HealthCare:Does Integrated",NA,"LLY2951742","Not Supported",NA,NA,NA,NA,NA,NA
"43",NA,"DIAB",16164,"H9X-IN-B012","Dulaglutide","IV","400","87",1,35,2015-11-09,2015-11-09,2018-04-30,2018-09-04,2022-12-31,NA,NA,NA,2023-02-10,NA,2023-02-15,NA,2023-03-31,NA,NA,NA,"IN","COR","EMB","PMSNI1","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Prospective Non Interventional Dulaglutide India PMS Study",NA,"LLY2189265","Marisa Alamillo",NA,"JSS","Manjiri Palkar",NA,"IQVIA India contract. IQVIA has subcontracted DM and stats to Local India TPO JSS",NA
"44",NA,"NS",17016,"H8H-MC-LAIA","lasmiditan","I","48","47",1,1,2020-09-14,2020-09-08,2021-05-13,2021-05-14,2021-07-24,2021-07-24,2021-07-24,2021-07-24,2021-10-28,2021-10-28,2021-10-28,2021-10-28,2022-02-08,2022-02-03,NA,NA,"COR","COV","PRB","CTCONF","Corporate","No","Final Report Complete",2018-06-25,NA,NA,NA,NA,NA,NA,"BE Oral Disintegrating Tablet HV","Critical","LLY573144","Christopher N Helton","Medidata Rave","COVANCE","Babita Kumari",NA,NA,NA
"45",NA,"NS",17184,"I5Q-MC-B001","Galcanezumab","IV","1000",NA,1,0,2019-11-01,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,2025-12-31,NA,2026-12-31,NA,NA,NA,"COR","COR","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Long Term Safety Study (USA database)",NA,"LLY2951742","Not Supported",NA,NA,NA,NA,NA,"N"
"46",NA,"NS",17186,"I5Q-MC-B003","Galcanezumab","IV","1000",NA,1,0,2019-11-01,2019-11-22,NA,NA,NA,NA,NA,NA,NA,NA,2026-06-30,NA,2027-12-31,NA,NA,NA,"COR","COR","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"Pregnancy Database Study (USA database)",NA,"LLY2951742","Not Supported",NA,NA,NA,NA,NA,"N"
"47",NA,"ONC",15252,"I3Y-MC-JPBH","Abemaciclib","IB","198","141",1,12,2013-11-25,2013-11-26,2014-03-21,2014-03-10,2023-09-20,NA,2021-04-28,2021-03-15,2021-05-28,2021-04-16,2023-11-28,NA,2024-01-28,NA,NA,NA,"COR","TCR","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2014-03-05,"Met Breast Cancer study with combo therapies","Critical","LLY2835219","Santosh Kumar Chellur","InForm","Chiltern International Limited","Supriya Surya Prakash","Kiruba Rengasmy","InForm Version 5.5 - 1/12/2017 cnh.  Maria Jackson took this study over from Dana Lane Aug 2018.  Supriya Prakash took over stud as CDA from Maria Jackson May 2022.",NA
"48",NA,"NS",17189,"I5Q-MC-B004","Galcanezumab","IV","10000","0",3,250,2019-07-24,2019-08-08,2020-02-14,2020-02-25,2025-08-31,NA,NA,NA,NA,NA,2025-10-31,NA,2026-01-31,NA,NA,NA,"IQV","IQV","COR","PMSNI2",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Galcanezumab GHORWE observational Study",NA,"LLY2951742","Marisa Alamillo","IBM Clinical Development Platform","IQVIA","Marta Herrera",NA,NA,"Y"
"49",NA,"NS",17190,"I5Q-MC-B005","Galcanezumab","IV","400","0",1,1,2019-11-01,2021-05-11,2021-04-30,2022-01-05,2032-11-30,NA,NA,NA,NA,NA,2033-02-14,NA,2033-11-30,NA,NA,NA,"SYE","COR","COR","PMSNI1",NA,"No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Pregnancy Registry",NA,"LLY2951742","Marisa Alamillo","Medrio","Syneos (Project)","Marisa Alamillo",NA,NA,NA
"50",NA,"NS",17260,"I5Q-MC-Y001","Galcanezumab","IV","168","0",3,25,NA,2018-06-22,2018-09-28,2019-04-10,2022-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","EXPNPU",NA,"No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Cluster Headache Expanded Access Program",NA,"LLY2951742",NA,NA,NA,NA,NA,NA,NA
"51",NA,"NS",17573,"H8H-MC-LAIO","lasmiditan","I","104","96",1,1,2020-09-04,2020-09-11,2021-02-10,2021-02-15,2021-07-06,2021-07-06,2021-07-06,2021-07-06,2021-10-14,2021-10-07,2021-10-14,2021-10-07,2022-01-26,2022-01-19,NA,NA,"COR","COV","PRB","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"DDI with Dabigatran & Rosuvastatin HV","Critical","LLY573144","Christopher N Helton","Medidata Rave","COVANCE","Babita Kumari",NA,NA,NA
"52",NA,"NS",17185,"I5Q-MC-B002","Galcanezumab","IV","1000",NA,4,0,2019-11-01,2020-03-24,NA,NA,NA,NA,NA,NA,NA,NA,2025-12-31,NA,2026-12-31,NA,NA,NA,"COR","COR","COR","PMNIEU",NA,"No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"EU Drug Utilization -Retrospective Study (Database study)",NA,"LLY2951742","Not Supported",NA,NA,NA,NA,"Retrospective study","N"
"53",NA,"NS",16944,"H8H-MC-LAHY","lasmiditan","I","20","10",1,1,2017-10-05,2017-10-05,2017-11-20,2017-11-20,2022-12-14,2021-11-12,2022-12-14,2021-11-12,2022-03-17,2022-03-17,2022-03-17,2022-03-17,2022-08-31,NA,NA,NA,"COR","CRO","PRX","CT-EXP","Corporate","No","Database Finalized",NA,NA,NA,NA,NA,NA,NA,"EET Taste HV","Critical","LLY573144","Not Supported",NA,NA,"Not CP-DS supported",NA,NA,NA
"54",NA,"ONC",15457,"I4D-MC-E001","Prexasertib","II","144","111",1,1,2014-07-31,2014-08-04,2015-01-22,2015-01-05,2020-09-30,2021-07-19,NA,NA,NA,NA,NA,NA,2022-12-01,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Last Patient Visit",NA,NA,NA,NA,NA,NA,NA,"ExIST: Ph II - Chk-1 Inhib II - BRCA 1/2 mutation in women","Not Critical","LLY2606368",NA,NA,NA,NA,NA,NA,NA
"55",NA,"DIAB",15811,"H9X-MC-B013","Dulaglutide","IV","0",NA,2,0,2021-06-04,2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,2030-03-31,NA,2030-12-31,NA,NA,NA,"CRO","COR","COR","PMNIEU","Corporate","No","Protocol Approved",NA,NA,NA,NA,NA,NA,NA,"PMS EU PASS Study 1 Retrospective Study","Not Critical","LLY2189265","Not Supported",NA,NA,NA,NA,"consultancy only",NA
"56",NA,"ONC",15787,"I4T-MC-JVDF","Ramucirumab","I","167","174",5,25,2015-04-28,2015-04-30,2015-07-28,2015-07-29,2022-10-31,NA,NA,2018-08-31,2018-10-26,2018-10-26,2022-11-30,NA,2022-11-30,NA,NA,NA,"COR","NVL","COR","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,2015-06-30,2015-07-21,2015-07-21,"Ph I - Ram + Pembrolizumab - Gastric-NSCLC-Bladder","Critical","LLY3009806","Kalyan Kumar Reddy Burla","InForm","Novella","Yasha Sharma",NA,"InForm Version 6.0 - cnh 1/12/2017",NA
"57",NA,"ONC",15755,"I4T-MC-JVDE","Ramucirumab","III","383","399",19,124,2015-02-18,2015-02-20,2015-07-20,2015-07-20,2021-12-27,2021-11-19,2018-03-01,2018-03-15,2018-03-13,2018-03-23,2022-04-04,2022-04-04,2022-04-04,2022-04-04,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,2015-08-10,"REACH-2_R-Ph3-Ramucirumab+BSCvsPlacebo+BSC-HCC -2nd L","Critical","LLY3009806","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Pooja Singh","Purabee Dhara, Shruti M.","Nikki Batorksy was CDA until March 1, 2016<br>Dennis DiGiusto was CDA March 2, 2016 until December 31, 2016. Pat Murphy was CDA from January 1, 2017 until September 2017. Dennis was CDA from October 2017 until March 2018. Pedro Sobers was CDA from April 2018. Reena Ambaliya transitioned onto study in 2018 through Q4 2020.  Kimberly Swinney transitioned onto the study on 20 Oct 2020.
Transitioned to Lilly on Trial execution on 30 Jul 2020.  Pooja Singh transitioned onto the study 15Feb2022, when Kim left Lilly.",NA
"58",NA,"ONC",15736,"I4T-MC-JVDD","Ramucirumab","IV","600","607",6,90,2014-12-04,2014-12-11,2015-12-09,2015-12-09,2021-07-24,2021-07-23,2021-07-21,2021-07-23,2021-08-16,2021-08-20,2021-08-16,2021-08-20,2021-12-10,2021-12-13,NA,NA,"QUI","QUI","COR","PMNIEU","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,2015-11-20,"Ph IV - Ramucirumab - Post Auth Safety Study","Critical","LLY3009806","Marisa Alamillo","InForm","IQVIA","Veronica Laso","Kim Jurgens","Study Transitioned to Kathy Fields from Sara Sukenik Oct2017.  Carol Bradford transitioned to study January 2018.  Evan Beall transitioned onto study August 2018.  Jennifer Miller transitioned onto Study February 2020.  Study transitioned to Veronica Laso on 04 Feb 2021",NA
"59",NA,"ONC",15679,"I4T-MC-JVDC","Ramucirumab","III","524","527",21,151,2015-01-16,2015-01-14,2015-07-01,2015-07-13,2022-12-30,NA,2017-04-11,2017-04-21,2017-05-11,2017-05-19,2023-01-09,NA,2022-03-09,NA,NA,NA,"COR","QUI","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2015-06-08,"RANGE-Ph3-Ram+Docetaxel vs Placebo+Docetax-Bladder-2nd Ln","Critical","LLY3009806","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (ICON Transition)","Pooja Singh",NA,"Nov 2021 - Transitioned from Dana Lane as CDA to LCCI full support; Transitioned from ICON on 18 Nov 2021.
Patty Hazelgrove was lead CDA until April 2017 when Dana Lane assumed the lead CDA role. Patty continues to contribute to the study.",NA
"60",NA,"ONC",15621,"H9H-MC-E005","Galunisertib","IB","32","29",1,1,2015-05-01,2015-04-30,2016-04-11,2016-03-16,2018-10-31,2021-04-03,NA,NA,NA,NA,NA,NA,2022-12-31,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Last Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Ph Ib - TGFb RI + Paclitaxel - Breast","Not Critical","LLY2157299",NA,NA,NA,NA,NA,NA,NA
"61",NA,"ONC",15618,"H9H-MC-E002","Galunisertib","II","60","61",1,4,2015-05-01,2015-04-14,2016-05-03,2016-05-09,2022-12-31,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph II- TGFb RI +/- Enzalutamide - Prostate","Not Critical","LLY2157299",NA,NA,NA,NA,NA,NA,NA
"62",NA,"DIAB",15604,"H9X-JE-B005","Dulaglutide","IV","3150","3298",1,500,2015-02-28,2015-02-04,2016-05-16,2016-05-16,2021-05-14,2021-05-14,2021-05-14,NA,NA,NA,2021-12-15,2021-12-15,2022-06-15,2022-06-23,NA,NA,"JP","JP","JP","PMSNI1","Local","No","Final Report Complete",NA,NA,NA,NA,NA,2016-06-20,2016-06-23,"Post marketing safety study of Dulaglutide w T2DM Japan","Not Critical","LLY2189265","Yuko Ochiai","Medidata Rave","EPS Associates Co.,Ltd.","Isamu Tamura",NA,"DM TPO is EPS.",NA
"63",NA,"NS",16352,"I5Q-MC-CGAS","Galcanezumab","III","325","103",8,70,2017-10-27,2017-11-03,2020-11-27,2018-03-14,2024-12-31,NA,2023-11-30,NA,2024-01-13,NA,2025-01-30,NA,2025-03-28,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"LY2951742 vs placebo in episodic pediatric migraine patients","Critical","LLY2951742","Kimberly A Melnick","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Angela K Banks, Robin Moschel Kinnick","Poonam Singh","ICON Transition effective date&#58; 17Feb 2021","Y"
"64",NA,"NS",16353,"I5Q-MC-CGAT","Galcanezumab","III","300","76",9,70,2017-10-26,2017-11-06,2020-11-25,2020-11-25,2025-12-30,NA,2024-08-30,NA,2024-09-30,NA,2024-07-28,NA,2026-03-30,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",2019-02-21,NA,NA,NA,NA,NA,NA,"Adolescent chronic migraine prevention study","Critical","LLY2951742","Kimberly A Melnick","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Robin Moschel Kinnick, Angela K Banks","Ashima Anand","ICON Transition effective date&#58; 17Feb 2021","Y"
"65",NA,"NS",16466,"H8A-US-B004","Solanezumab","III","1400","168",1,80,2016-05-24,2016-06-22,2016-10-28,2016-10-29,2023-04-28,NA,2021-01-22,2021-01-30,2021-03-05,NA,2023-05-26,NA,2023-08-18,NA,NA,NA,"COR","COR","COR","PMSNI2","Local","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"GERAS - US Study","Not Critical","LLY2062430","Marisa Alamillo","EDC Other","United Biosource Corporation (UBC)","Marta Herrera, Belen Fernandez",NA,NA,NA
"66",NA,"ONC",15546,"H9H-MC-E001","Galunisertib","IB","26","24",1,1,2016-11-30,2016-11-30,2017-10-31,2017-08-23,2022-12-31,NA,NA,NA,NA,NA,NA,NA,2023-07-31,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"R-PHIb-TGFb RI + Pacli+Carbo  RI-Uterine","Not Critical","LLY2157299",NA,NA,NA,NA,NA,NA,NA
"67",NA,"ONC",15540,"I4T-MC-JVCY","Ramucirumab","IB/III","562","550",12,121,2014-12-19,2014-12-11,2015-05-04,2015-05-06,2023-12-16,NA,2019-01-15,2019-01-23,2019-02-13,2019-02-14,2024-01-04,NA,2024-04-06,NA,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,2015-05-19,2015-05-19,"RELAY_R-PhIII-Erlotinib+Ram vsErlotinib+Placebo-NSCLC 1st Ln","Critical","LLY3009806","Santosh Kumar Chellur","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Sanjay Malhotra","Sanjay Malhotra, Sanghamitra, Chandani Chaturvedi, Ramesh R","CDA role was transitioned from Kimberly Swinney to Sanjay Malhotra on 15FEB2022. Carol was the CDA for this study until March 1, 2018. Patty Hazelgrove was CDA beginning March 1, 2018. Study transitioned from ICON to Lilly on June 8 2021 on trial execution phase. After PODBL",NA
"68",NA,"ONC",15537,"I3Y-MC-JPCB","Abemaciclib","I","48","44",1,3,2015-10-23,2015-10-06,2016-02-22,2016-03-08,2021-04-06,2021-01-06,2018-02-04,2018-02-04,2019-01-02,2019-01-02,2021-06-08,2021-06-21,2021-09-09,2021-09-20,NA,NA,"COR","COV","PRB","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"DDI + ABPM in Pts","Not Critical","LLY2835219","Christopher N Helton","Medidata Rave","COVANCE","Sahil Chadha",NA,NA,"Y"
"69",NA,"DIAB",15690,"H9X-MC-B016","Dulaglutide","IV","2100","2236",3,240,2017-01-05,2017-03-03,2017-07-31,2017-04-10,2021-06-30,2021-06-02,2021-06-30,2021-06-02,2021-10-29,NA,2021-10-29,2021-07-27,2022-07-25,NA,NA,NA,"QUI","COR","COR","PMSNI2","Local","No","Database Finalized",NA,NA,NA,NA,NA,NA,NA,"Prospective Observational Study - OUS","Not Critical","LLY2189265","BISHWAPRIYA DEB",NA,"IQVIA","Priya Carol Dsilva","Liezel Voges",NA,NA
"70",NA,"ONC",15530,"I3Y-CR-JPBQ","Abemaciclib","III","450","462",5,60,2016-01-29,2016-01-28,2016-12-12,2016-12-05,2023-09-20,NA,2019-01-31,2019-03-29,2019-02-28,2019-04-30,2022-02-04,NA,2021-12-03,2021-10-26,NA,NA,"CN","ICC","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"R-Ph III-CDK 4/6 +AI vs Placebo + AI - MBC - 1st line","Not Critical","LLY2835219","Xiao Dan Qi","InForm/DMW","Lilly LCCI only (ICON Transition)","Meng Yang","Raghavendra NP 
Santosh Kumar Namdeo","Transitioned from ICON on 24 Dec 2021",NA
"71",NA,"DERM",16582,"I4V-MC-JAHO","Baricitinib","II/III","725","765",6,80,2018-05-18,2018-05-21,2018-09-24,2018-09-24,2024-06-24,NA,2021-02-12,2021-02-02,2021-03-08,2021-03-05,2024-07-08,NA,2024-09-28,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Last Pt. Enter Treatment",2017-02-17,NA,NA,NA,NA,NA,NA,"Ph2/Ph3 LY vs PBO in pts with Alopecia Areata","Critical","LLY3009104","Satish S Muddappanavar","InForm/DMW","Lilly LCC/LCCI (ICON Transition)","Geeta Sawant","Bobby Gibson","Using Signant Health for eCOA. ICON transition completed on Jan 28th, 2022.","Y"
"72",NA,"ONC",16419,"I8S-MC-JUAB","ERK Inhibitor ( LY3214996 )","I","252","142",4,7,2016-04-27,2016-04-29,2016-09-15,2016-09-29,2022-09-10,NA,2021-02-10,2021-02-10,2021-11-30,2022-02-10,2022-10-10,2022-02-10,2022-10-10,NA,NA,NA,"COR","CHI","PRO","CT-EXP","Corporate","No","Database Finalized",NA,NA,NA,NA,NA,2016-08-09,NA,"FHD_Ph I - ERK Inhibitor - Solid Tumors","Not Critical","LLY3214996","Kalyan Kumar Reddy Burla","InForm","Chiltern International Limited","Jalpa K Kothari","Angele Williams","Chiltern (formerlly known as Theorem, now known as Covance) is the DM TPO. DKrey (4/16/16) - Anu T. will partner with Pat M during build.  Anu will become CDA after FPV; sept 2016 - trial tx from pat to anu.  InForm Version 6.1 - 1/12/2017 cnh.  Manager switched to HRivera 01Feb2017.  Study transitioned from Stephanie Matthews to Jen Negri.  Study transitioned from Jen Negri to Samantha King Oct 9, 2020.  Study transitioned from Samantha King to Jalpa Kothari 25Jan2022.","N"
"73",NA,"CVVD",18547,"J3L-MC-EZEB","Lp(a)-siRNA (LY3819469)","II","254",NA,9,100,2022-06-30,NA,2022-10-31,NA,2025-05-19,NA,2024-05-20,NA,2024-07-04,NA,2025-07-03,NA,2025-10-01,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Created",NA,NA,NA,NA,NA,NA,NA,"Phase 2 study in partcipants with elevated Lp(a)","Critical","LLY3819469",NA,NA,NA,NA,NA,NA,NA
"74",NA,"CVVD",18537,"J4D-MC-EZFA","APOC3_siRNA (LY3875383)","I","120",NA,2,6,2022-08-05,NA,2022-11-14,NA,2024-08-09,NA,2024-08-09,NA,2024-10-11,NA,2024-10-11,NA,2025-01-10,NA,NA,NA,"COR","COR","PRX","CT-EXP","Corporate","No","Scientific Review Cmplt",NA,NA,NA,NA,NA,NA,NA,"FHD POC Cardiovascular & Vascular Diseases",NA,"LLY3875383",NA,NA,NA,NA,NA,NA,NA
"75",NA,"ND",18094,"I9X-MC-MTAE","O-GlcNAcase Inhibitor II (LY3372689)","II","330","42",5,100,2020-12-15,2021-01-06,2021-09-15,2021-09-16,2024-06-13,NA,2024-05-16,NA,2024-08-14,NA,2024-08-14,NA,2024-10-14,NA,NA,NA,"COR","COR","COR","CT-EXP",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Assessment of Safety, Tolerability, and Efficacy of LY337268","Not Critical","LLY3372689","Jude Joseph Burger","Veeva eDC/CDB","Lilly LCC/LCCI","Warda Syeda Saeed","Jyoti Deepak Yerunkar",NA,"Y"
"76",NA,"ONC",17468,"I5B-MC-Y001","Olaratumab","IV","1000","2",34,500,2019-04-29,2019-05-03,2019-07-15,2019-07-30,2022-12-31,NA,2022-11-01,NA,2023-01-31,NA,2023-01-31,NA,2023-03-31,NA,NA,NA,"IQV","COR","COR","EXPNPU","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Lartruvo Patient Access Program","Not Critical","LLY3012207",NA,NA,NA,NA,NA,NA,NA
"77",NA,"ONC",17446,"I8S-MC-E003","ERK Inhibitor ( LY3214996 )","I","30","13",1,2,2018-11-20,2018-11-20,2019-04-20,2020-08-21,2023-02-01,NA,NA,NA,NA,NA,NA,NA,2023-08-30,NA,NA,NA,"COR","COR","COR","EXIST","Local","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph I - ERK Inhibitor - AML","Not Critical","LLY3214996",NA,NA,NA,NA,NA,NA,NA
"78",NA,"ONC",17444,"I8S-MC-E001","ERK Inhibitor ( LY3214996 )","II","60","29",1,4,2018-12-13,NA,2019-04-13,2020-06-17,2023-05-27,NA,NA,NA,NA,NA,NA,NA,2024-05-27,NA,NA,NA,"COR","COR","COR","EXIST","Local","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph II - Chk 1 or ERK Inhib - Metastatic Pancreatic","Not Critical","LLY3214996",NA,NA,NA,NA,NA,NA,NA
"79",NA,"CV",10609,"H6D-MC-LVHV","Tadalafil","III","34","35",9,45,2012-05-31,2012-06-12,2014-02-05,2014-02-05,2021-03-12,2021-03-10,2019-03-26,2019-03-18,2019-04-29,2019-05-15,2021-04-30,2021-05-03,2021-07-23,2021-08-23,NA,NA,"COR","INV","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,2013-02-27,2013-02-27,"PAH Pediatric Study for patients >= 6months of age","Critical","LLY450190","Sridevi N","InForm/DMW","Lilly LCCI only (Syneos Transition)","Koushik Gade","Koushik Gade","Transitioned to Lilly on Trial execution on 7 Aug 2020. CDA prior to transition to LCCI was Anita Suppiger",NA
"80",NA,"ONC",17442,"I4D-MC-E011","Prexasertib","I","36","21",1,1,2019-02-27,2019-02-27,2019-06-27,2019-09-17,2022-10-01,2022-06-24,NA,NA,NA,NA,NA,NA,2022-10-01,NA,NA,NA,"COR","COR","COR","EXIST","Local","No","Last Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Ph I - Prexa w/wo Irino + Temozol - DSCRT or Rhabdomyosarcom","Not Critical","LLY2606368",NA,NA,NA,NA,NA,NA,NA
"81",NA,"ONC",17477,"J2G-OX-JZJA","RET Inhibitor (Loxo-292) (LY3527723)","I/II","870","0",11,69,2017-03-01,2017-03-01,2017-05-02,2017-05-02,2023-11-21,NA,2022-11-21,NA,2022-12-21,NA,2023-12-21,NA,2024-01-21,NA,NA,NA,"MDP","LOX","LOX","CT-EXP","Corporate","No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"RET Inhibitor FHD  Libretto-001   LOXO-RET-17001","Critical","LLY3527723","Dana Renae Lane","EDC Other","Medpace","Deelan Mareena D'Souza","Kalin Russell
Meredith Rohan","TPO Vendor is Medpace, EDC is Clintrack

No eCOA for this study

This study was originally transitioned from Loxo to Lilly in July of 2020. Dana Lane was the CDA, until the end of October 2020, then it was transitioned to Tom Kim, Then it was transitioned to Deelan D'Souza when Tom Kim left Lilly in 05May2022.",NA
"82",NA,"ONC",17407,"I4D-MC-E010","Prexasertib","I","80","21",3,3,2018-12-18,2019-01-01,2019-07-01,2019-08-06,2023-01-01,NA,NA,NA,NA,NA,NA,NA,2023-01-01,NA,NA,NA,"COR","COR","COR","EXIST","Local","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph 1 - Prexsertib + Cyclophosamide or Gem - Medulloblastoma","Not Critical","LLY2606368",NA,NA,NA,NA,NA,NA,NA
"83",NA,"ND",17737,"I5T-MC-AACI","Donanemab (LY3002813)","III","1500","2489",12,295,2020-02-01,2020-01-30,2020-06-22,2020-06-19,2025-08-22,NA,2023-04-21,NA,2023-05-19,NA,2025-09-19,NA,2024-04-16,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Last Pat. Entered Trial",NA,NA,NA,NA,NA,NA,NA,"N3pG Phase 3 Safety and Efficacy in AD Patients","Critical","LLY3002813","Prathibha Pramod Prabhakar","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Dedeepya Masarapu","Ashima Anand, Shivleela, Fawaazulla, Manoj, Kori Reintjes","Transitioned from Syneos to Lilly on Jul 10, 2020. Transitioned before FPV. Study fully supported in LCCI. CDA prior to transition to LCCI was Christine A Clawson","Y"
"84",NA,"ONC",17384,"I3Y-MC-JPCW","Abemaciclib","III","2450","99",24,525,2020-10-16,2020-12-08,2021-05-12,2021-05-10,2024-02-09,NA,2024-02-09,NA,2024-03-10,NA,2024-03-10,NA,2025-03-30,NA,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph III - Abemaciclib - Adjuvant","Critical","LLY2835219","Alisa Hayes","Veeva eDC/DMW","Lilly LCC/LCCI","Maria Pappas","Kamal Kandhari ,Supriya Surya Prakash","Study is no longer enrolling, has moved to Continued Access","Y"
"85",NA,"ND",17447,"I5T-MC-AACH","Donanemab (LY3002813)","II","100","92",2,31,2020-08-31,2020-09-01,2020-11-13,2020-11-23,2024-03-05,NA,2023-09-19,NA,2023-10-17,NA,2024-04-02,NA,2024-06-25,NA,NA,NA,"COR","COR","COR","CTTHER",NA,"No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Open Label N3pG1 for I5T-MC-AACG Placebo Completers","Not Critical","LLY3002813","Prathibha Pramod Prabhakar","Veeva eDC/DMW","Lilly LCCI only","Sahil Bajaj","Tummala Suresh Reddy","This is an extension for AACI and AACG.  It also has a video validation piece at the beginning of the study. Study fully supported by LCCI. CDA prior to transition to LCCI was Warda Syeda Saeed","Y"
